,Uniq Id,Crawl Timestamp,Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
425,a6c53156746a79b943dd79bd794e838d,2019-08-05 22:31:21 +0000, MBA HR - Experience, Not Disclosed by Recruiter ,5 - 10 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Manager,78.4740613,17.360589,4379
426,1c46ae6876f964dcd3f63688d5a06c9e,2019-08-05 21:59:09 +0000, System Analyst, Not Disclosed by Recruiter ,2 - 3 yrs, T-SQL| Web technologies| data manipulation| MIS| XML| Data structures| System Analyst| JSON| Scripting,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",System Analyst,73.8544541,18.521428,3638
427,42e36cfaa1af87280ca94b4d04500620,2019-08-06 03:10:00 +0000, Account Assistance, Not Disclosed by Recruiter ,2 - 3 yrs, Audit| Credit Officers| Internal audit| Accounting| Finance| Tax| Accounts| Risk Management,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Internet, Ecommerce",Accounts Executive/Accountant,73.8544541,18.521428,6372
428,e38e7c2fba468c1d2329cfd5c7de8676,2019-07-05 03:22:56 +0000, Senior Embedded Engineer, Not Disclosed by Recruiter ,3 - 5 yrs, gsm| ethernet| development| optimization| product development| troubleshooting| gps| lcd| embedded| spi,Programming & Design,Ahmedabad,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Team Lead/Technical Lead,72.5797068,23.0216238,4199
429,5ad21e4f9954de3bb32e48fa2b1fae9c,2019-08-04 16:30:18 +0000, Urgent Opening For Asst. Manager-it Infrastructure - Mumbai," 4,00,000 - 8,00,000 PA. ",4 - 7 yrs, Fortigate| Networking| Routing| Hyper - V| Dlp| Sophos| Windows| Virtualization| Switching| Firewall,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Technical Support Engineer,72.8773928,19.0759899,1874
430,8fecb72a075e1e75da1ddd04e8778380,2019-08-05 14:52:30 +0000, Java Developer, Not Disclosed by Recruiter ,4 - 8 yrs, Java| Spring Boot| Web Services| Microservices,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,3145
431,848b8fb8383848faf10bf19f02778680,2019-07-05 14:59:27 +0000, Sr. Software Engineer Android/Hybrid, Not Disclosed by Recruiter ,3 - 5 yrs, SQL| Android| jQuery| UML| Coding| Graphics| JSON| Test cases| System testing| SQLite,Programming & Design,Hyderabad,IT Software - System Programming,"IT-Software, Software Services",Software Developer,78.4740613,17.360589,4535
432,e5542f2bd80f568ca3a665de951832f9,2019-07-06 15:54:52 +0000, Principal Engineer-Piping, Not Disclosed by Recruiter ,15 - 18 yrs, HVAC| Architecture| Project management| CAD| thermal| Conceptualization| Instrumentation| Autodesk| Food processing| Project delivery,Engineering Design,Mumbai,"Engineering Design , R&D","Construction, Engineering, Cement, Metals",Technical Lead/Project Lead,72.8773928,19.0759899,2691
433,dfe71f8ca8a6daeaf6ebbc6b16974601,2019-08-05 10:37:40 +0000, Business Analyst - Structured Finance," 3,50,000 - 8,50,000 PA. ",1 - 4 yrs, electronic trading| structured finance| dcf| equity research| bloomberg| investment banking| business analysis| bonds| valuation| advanced excel| hedge fund| financial modelling| structured products| fixed income,System Design/Implementation/ERP/CRM,Gurgaon,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Business Analyst,77.00270014657752,28.42826235,5537
434,dc2b1704ad4dc31b0ddc97e2ea3abf4a,2019-08-04 10:02:37 +0000,Solution Architecting, Not Disclosed by Recruiter, 8 - 12 Years,Product management|Analytical skills|software architecture|Prototype|Business analysis|Manager Technology|Outsourcing|Resource management|Operations|Solution architecting,Programming & Design, Gurgaon,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Technical Architect,77.00270014657752,28.42826235,6851
435,ee475626a8a2a5edf621624952265f0e,2019-08-06 05:08:55 +0000, Sales / Business Development, Not Disclosed by Recruiter ,15 - 20 yrs, Sales Head| Hospitality| Office automation| Residential sales| Sales strategy| Bfsi| management| Real estate sales| Flex| Executive search,Senior Management,"Bengaluru,Chennai","Sales , Retail , Business Development","Recruitment, Staffing",Head/VP/GM/National Manager -Sales,77.5553641,13.0155238,4064
436,1e6b05ea5905fe8c43438901b2a11ed1,2019-08-04 20:50:47 +0000," Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)"," 3,00,000 - 3,75,000 PA. ",0 - 2 yrs, biotechnology| microbiology| nursing| biomedical| medical coding| medical coder| pharmacy| life sciences,Medical Professional,"Chennai Vellore,Salem Erode,Madurai Trichy","Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Intern,,,4373
437,aabf30cebad0a524fb53c50b21938d1a,2019-08-05 07:24:23 +0000, Consultant, Not Disclosed by Recruiter ,12 - 16 yrs, Com| Application support| Email| SAP IS-Utilities| level| Billing| change| Service| CRM| Entry level,System Design/Implementation/ERP/CRM,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Outside Technical Consultant,73.8544541,18.521428,4683
438,ab1154ac8e4123bc883478444774f69d,2019-07-06 07:16:06 +0000, Network & Security Architect- Pune, Not Disclosed by Recruiter ,8 - 13 yrs, Network,,Pune,Other,"IT-Software, Software Services",Other,73.8544541,18.521428,1834
439,eca459faa89d0568d3a75303ff3151d1,2019-08-06 09:11:41 +0000, Business Development Manager, Not Disclosed by Recruiter ,1 - 3 yrs, ERP| RF| Action plan| Relationship| Software sales| Business planning| B2B Sales| RFQ| RFP| CRM,Corporate Sales,Mumbai,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,72.8773928,19.0759899,5681
440,48711cc3ac1be2328234985f2f679730,2019-07-06 12:03:39 +0000, Assistant Vice President - Stock Broking - Delhi," 4,00,000 - 9,00,000 PA. ",3 - 8 yrs, Equity| Currency| Mutual Funds| Commodities| Stock Broking| New Client Acquisition| Business Generation| Channel Distribution| Team Management| team handling| sales,Senior Management,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales,77.1212148,28.6882438,3935
